//A32X Aero
//CI CRZ Mach
[200]
FORMAT.
ROW.
0 2000 4000 6000 8000 10000 12000 14000 16000 18000 20000 22000 24000 26000 28000 30000 32000 34000 36000 38000 39800
ROWEND.
COLUMN.
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 100000 COLLINE
47000 57000 67000 77000 87000 97000 COLLINE
47000 57000 67000 77000 87000 COLLINE
47000 57000 67000 77000 COLLINE
47000 57000 67000 77000 COLLINE
47000 57000 67000 COLLINE
47000 57000 COLLINE
COLUMNEND.
GROUP.
0 10 20 30 40 50 60 70 80 90 100
GROUPEND.
FORMATEND.
0.344 0.373 0.402 0.430 0.459 0.488 0.496
0.354 0.385 0.416 0.447 0.478 0.504 0.510
0.366 0.399 0.432 0.465 0.498 0.519 0.526
0.378 0.413 0.449 0.485 0.512 0.535 0.542
0.391 0.430 0.468 0.503 0.528 0.553 0.560
0.405 0.447 0.489 0.519 0.545 0.572 0.578
0.421 0.467 0.506 0.535 0.564 0.589 0.595
0.439 0.488 0.522 0.554 0.582 0.607 0.614
0.458 0.506 0.540 0.573 0.600 0.627 0.634
0.480 0.523 0.560 0.591 0.620 0.647 0.654
0.501 0.541 0.579 0.610 0.640 0.668 0.676
0.517 0.561 0.597 0.632 0.662 0.691 0.699
0.536 0.581 0.618 0.652 0.685 0.714 0.723
0.556 0.600 0.640 0.675 0.708 0.738 0.746
0.577 0.622 0.662 0.699 0.733 0.760 0.765
0.597 0.644 0.686 0.724 0.755 0.775
0.619 0.667 0.711 0.748 0.773
0.642 0.692 0.736 0.768
0.666 0.718 0.760 0.779
0.692 0.744 0.776
0.715 0.764
0.402 0.424 0.447 0.469 0.491 0.514 0.514
0.415 0.438 0.462 0.485 0.509 0.530 0.532
0.428 0.453 0.477 0.502 0.526 0.545 0.550
0.442 0.468 0.494 0.519 0.541 0.561 0.567
0.457 0.484 0.511 0.536 0.557 0.579 0.585
0.473 0.500 0.528 0.552 0.575 0.598 0.603
0.489 0.518 0.545 0.569 0.594 0.614 0.619
0.506 0.535 0.562 0.588 0.611 0.631 0.637
0.523 0.552 0.580 0.607 0.628 0.649 0.656
0.540 0.569 0.599 0.623 0.646 0.668 0.674
0.557 0.588 0.617 0.641 0.665 0.687 0.694
0.574 0.607 0.634 0.660 0.684 0.708 0.715
0.591 0.624 0.652 0.679 0.705 0.731 0.739
0.609 0.641 0.672 0.701 0.728 0.753 0.759
0.627 0.661 0.693 0.723 0.750 0.769 0.772
0.646 0.682 0.716 0.746 0.766 0.779
0.666 0.705 0.739 0.763 0.778
0.689 0.729 0.758 0.775
0.714 0.750 0.770 0.782
0.735 0.764 0.780
0.750 0.774
0.460 0.476 0.492 0.508 0.514 0.514 0.514
0.475 0.491 0.507 0.523 0.532 0.532 0.532
0.491 0.507 0.522 0.538 0.550 0.550 0.550
0.505 0.521 0.537 0.553 0.570 0.570 0.570
0.516 0.532 0.549 0.566 0.585 0.590 0.590
0.527 0.545 0.562 0.581 0.600 0.612 0.612
0.539 0.558 0.576 0.596 0.616 0.634 0.634
0.552 0.571 0.592 0.612 0.632 0.651 0.656
0.566 0.586 0.607 0.628 0.649 0.669 0.675
0.580 0.602 0.623 0.645 0.668 0.689 0.695
0.595 0.617 0.640 0.664 0.688 0.711 0.717
0.611 0.634 0.660 0.686 0.710 0.731 0.736
0.629 0.655 0.683 0.707 0.730 0.748 0.753
0.649 0.678 0.705 0.727 0.746 0.761 0.765
0.672 0.703 0.725 0.743 0.760 0.772 0.775
0.695 0.722 0.740 0.758 0.770 0.781
0.714 0.736 0.754 0.769 0.781
0.729 0.750 0.766 0.779
0.744 0.763 0.776 0.784
0.757 0.772 0.784
0.766 0.780
0.501 0.513 0.514 0.514 0.514 0.514 0.514
0.511 0.523 0.532 0.532 0.532 0.532 0.532
0.521 0.535 0.548 0.550 0.550 0.550 0.550
0.533 0.547 0.560 0.570 0.570 0.570 0.570
0.545 0.559 0.573 0.588 0.590 0.590 0.590
0.558 0.573 0.587 0.602 0.612 0.612 0.612
0.572 0.586 0.601 0.617 0.632 0.634 0.634
0.583 0.600 0.617 0.634 0.651 0.657 0.657
0.597 0.615 0.634 0.653 0.672 0.681 0.681
0.612 0.633 0.654 0.674 0.695 0.707 0.707
0.629 0.653 0.676 0.697 0.715 0.729 0.733
0.648 0.673 0.696 0.717 0.730 0.743 0.747
0.667 0.691 0.713 0.730 0.743 0.756 0.759
0.686 0.708 0.728 0.743 0.756 0.767 0.769
0.703 0.726 0.742 0.755 0.767 0.776 0.779
0.721 0.742 0.755 0.766 0.776 0.784
0.739 0.754 0.765 0.774 0.784
0.749 0.762 0.773 0.783
0.758 0.770 0.782 0.786
0.767 0.779 0.787
0.775 0.785
0.514 0.514 0.514 0.514 0.514 0.514 0.514
0.532 0.532 0.532 0.532 0.532 0.532 0.532
0.548 0.550 0.550 0.550 0.550 0.550 0.550
0.559 0.570 0.570 0.570 0.570 0.570 0.570
0.569 0.582 0.590 0.590 0.590 0.590 0.590
0.580 0.595 0.609 0.612 0.612 0.612 0.612
0.592 0.609 0.625 0.634 0.634 0.634 0.634
0.607 0.625 0.643 0.657 0.657 0.657 0.657
0.623 0.642 0.662 0.681 0.681 0.681 0.681
0.642 0.661 0.680 0.697 0.707 0.707 0.707
0.660 0.679 0.697 0.714 0.729 0.733 0.733
0.677 0.696 0.713 0.731 0.742 0.752 0.755
0.693 0.712 0.731 0.744 0.754 0.763 0.766
0.710 0.730 0.746 0.756 0.764 0.771 0.773
0.724 0.743 0.754 0.763 0.771 0.780 0.782
0.737 0.752 0.762 0.771 0.780 0.786
0.748 0.760 0.770 0.779 0.786
0.758 0.769 0.779 0.786
0.768 0.778 0.786 0.788
0.777 0.785 0.789
0.784 0.789
0.514 0.514 0.514 0.514 0.514 0.514 0.514
0.532 0.532 0.532 0.532 0.532 0.532 0.532
0.550 0.550 0.550 0.550 0.550 0.550 0.550
0.570 0.570 0.570 0.570 0.570 0.570 0.570
0.586 0.590 0.590 0.590 0.590 0.590 0.590
0.599 0.612 0.612 0.612 0.612 0.612 0.612
0.617 0.632 0.634 0.634 0.634 0.634 0.634
0.635 0.650 0.657 0.657 0.657 0.657 0.657
0.654 0.668 0.681 0.681 0.681 0.681 0.681
0.669 0.683 0.698 0.707 0.707 0.707 0.707
0.682 0.698 0.714 0.730 0.733 0.733 0.733
0.697 0.714 0.730 0.745 0.753 0.760 0.761
0.712 0.727 0.742 0.752 0.760 0.767 0.769
0.725 0.739 0.752 0.760 0.768 0.775 0.777
0.737 0.750 0.760 0.768 0.776 0.783 0.784
0.748 0.759 0.769 0.777 0.784 0.787
0.759 0.769 0.777 0.784 0.788
0.769 0.778 0.785 0.788
0.780 0.786 0.790 0.789
0.788 0.791 0.790
0.792 0.793
0.514 0.514 0.514 0.514 0.514 0.514 0.514
0.532 0.532 0.532 0.532 0.532 0.532 0.532
0.550 0.550 0.550 0.550 0.550 0.550 0.550
0.570 0.570 0.570 0.570 0.570 0.570 0.570
0.590 0.590 0.590 0.590 0.590 0.590 0.590
0.612 0.612 0.612 0.612 0.612 0.612 0.612
0.634 0.634 0.634 0.634 0.634 0.634 0.634
0.657 0.657 0.657 0.657 0.657 0.657 0.657
0.678 0.681 0.681 0.681 0.681 0.681 0.681
0.689 0.699 0.707 0.707 0.707 0.707 0.707
0.700 0.713 0.726 0.733 0.733 0.733 0.733
0.715 0.726 0.738 0.749 0.756 0.761 0.761
0.727 0.737 0.748 0.757 0.765 0.771 0.773
0.739 0.748 0.757 0.766 0.773 0.779 0.781
0.749 0.758 0.767 0.774 0.781 0.786 0.787
0.760 0.768 0.776 0.782 0.787 0.789
0.771 0.778 0.784 0.788 0.789
0.782 0.787 0.790 0.791
0.790 0.793 0.793 0.790
0.795 0.795 0.792
0.798 0.796
0.514 0.514 0.514 0.514 0.514 0.514 0.514
0.532 0.532 0.532 0.532 0.532 0.532 0.532
0.550 0.550 0.550 0.550 0.550 0.550 0.550
0.570 0.570 0.570 0.570 0.570 0.570 0.570
0.590 0.590 0.590 0.590 0.590 0.590 0.590
0.612 0.612 0.612 0.612 0.612 0.612 0.612
0.634 0.634 0.634 0.634 0.634 0.634 0.634
0.657 0.657 0.657 0.657 0.657 0.657 0.657
0.681 0.681 0.681 0.681 0.681 0.681 0.681
0.706 0.707 0.707 0.707 0.707 0.707 0.707
0.717 0.725 0.733 0.733 0.733 0.733 0.733
0.730 0.737 0.745 0.754 0.761 0.761 0.761
0.742 0.747 0.755 0.762 0.770 0.776 0.778
0.751 0.757 0.765 0.772 0.778 0.783 0.784
0.762 0.768 0.775 0.780 0.785 0.788 0.789
0.773 0.778 0.784 0.787 0.790 0.790
0.784 0.788 0.791 0.792 0.791
0.790 0.793 0.794 0.793
0.796 0.797 0.796 0.791
0.800 0.799 0.794
0.800 0.799
